examples/banking/bank/initiatives/instant-refunds/initiative.md (frontmatter)	flow-context requoting (yaml.v3 quotes a plain `://` scalar inside `{...}`)
examples/banking/bank/repos/company-ontology/contexts/fraud.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/company-ontology/contexts/payments.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/company-ontology/ids/registry.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/company-os/standards/company-baseline.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-cards/components/card-issuing.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/platform-cards/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-customer-service/components/case-desk.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/platform-fraud/archive/prds/2026-alert-triage-queues/prd.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-fraud/components/transaction-screening.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-fraud/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-identity/components/auth-service.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/platform-identity/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-payments/change-records/active/2026-instant-refunds-rails/prd.md (frontmatter)	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-payments/components/payment-gateway.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-payments/components/settlement-engine.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/platform-payments/governance/requirements.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/repos/platform-payments/skills/creating-prd.SKILL.md (frontmatter)	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/team-cards-issuing/ownership/components.yaml	block-sequence indent (safe_dump writes `key:\n- item`)
examples/banking/bank/repos/team-cards-issuing/team.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/workspaces/team-fraud-detection/teams/fraud-detection/governance/deviations.yaml	80-column line folding (usually together with the indent difference)
examples/banking/bank/workspaces/team-fraud-detection/teams/fraud-detection/governance/exceptions.yaml	80-column line folding (usually together with the indent difference)
